Program,Organization,min_funding,max_funding,Program_Eligibility,Use_of_Funds,Area,Website,Website_complete,Type_of_Fund,Targeted_Applicants,Phone,Zip_Code
AGRI Value-Added Grant,Minnesota Department of Agriculture,1000,150000,"Individuals, farmers, businesses, agricultural cooperatives in Minnesota","Equipment, production capacity, market diversification, market access for value-added products",Minnesota,www.mda.state.mn.us,https://www.mda.state.mn.us/business-dev-loans-grants/agri-value-added-grant-program,Grant,Not specified,(651) 201-6685,55106
Dairy Business Planning Grants,Minnesota Department of Agriculture,0,5000,Existing and beginning Minnesota dairy farmers,"Business planning, modernization activities, stray voltage testing, other improvements on Minnesota dairy farms",Minnesota,www.mda.state.mn.us,https://www.mda.state.mn.us/dairy-business-planning-grants,Grant,Not specified,(651) 201-6646,55106
Methane Digester Loan Program,Minnesota Department of Agriculture,0,250000,Livestock producers in Minnesota,Equipment and construction of a system that will use manure to produce electricity,Minnesota,www.mda.state.mn.us,https://www.mda.state.mn.us/methane-digester-loan-program,Loan - Revolving Loan Fund,Not specified,(651) 201-6666,55106
Minnesota Cleanup Revolving Loan Fund,Minnesota Department of Employment and Economic Development,0,400000,Small businesses,"Environmental cleanup, cleanup-related site sampling and monitoring",Minnesota,mn.gov,https://mn.gov/deed/government/financial-assistance/cleanup/cleanuprevolvingloanprogram.jsp,Loan - Revolving Loan Fund,Not specified,(615) 259-7451,55106
Minnesota Cultural Mall Operator Grants,Minnesota Department of Employment and Economic Development,0,250000,Maintaining existing tenants,Contact provider,Minnesota,mn.gov,https://mn.gov/deed/business/financing-business/deed-programs/cultural-mall/,Grant,Not specified,(615) 259-7451,55106
Indian Business Loan Program,Minnesota Department of Employment and Economic Development,0,400000,Small businesses,"Startup, expansions, machinery, equipment, inventory, receivables, working capital, new construction, renovation, site acquisition",Minnesota,mn.gov,https://mn.gov/deed/business/financing-business/deed-programs/indian/,Loan,Not specified,(615) 259-7483,55106
Minnesota 21st Century Fund,Minnesota Department of Employment and Economic Development,0,400000,Small businesses,Contact provider,Minnesota,mn.gov,https://mn.gov/deed/business/financing-business/deed-programs/minerals/,Equity,Not specified,(615) 259-7523,55106
Tourism Business Septic Tank Replacement Program,Minnesota Department of Employment and Economic Development,0,65000,"Corporations, sole proprietorships or partnerships engaged in an existing tourism-related business that provide overnight lodging, including resorts, bed and breakfast inns, hotels, motels, ski lodges, campgrounds and recreational vehicle trailer parks",Replace an existing septic system,Minnesota,mn.gov,https://mn.gov/deed/business/financing-business/deed-programs/septic-tourism/,Loan,Not specified,(651) 259-7114,55106
Minnesota Reservist and Veteran Business Loan Program,Minnesota Department of Employment and Economic Development,5000,20000,Existing small businesses with an essential employee called to active service in the military reserves for 180 days or longer or recent service-separated Veterans seeking financial assistance to start their own businesses,Contact provider,Minnesota,mn.gov,https://mn.gov/deed/business/financing-business/deed-programs/reservists/,Loan,Veterans,(615) 259-7427,55106
Launch Minnesota Innovation Grants,Minnesota Department of Employment and Economic Development (DEED),0,50000,"Women, Veterans, people of color, startups located in Greater Minnesota",,Minnesota,mn.gov,https://mn.gov/deed/business/financing-business/deed-programs/launch-innovation/,Grant,"Minorities, Women, Veterans",(615) 259-7614,55106
Minnesota Small Business Loan Guarantee Program,Minnesota Department of Employment and Economic Development Region 8,0,200000,Eligible businesses,"Machinery, equipment, maintenance, repair, moving expenses, working capital",Minnesota,mn.gov,https://mn.gov/deed/business/financing-business/deed-programs/loan-guarantee/,COVID-19 Specific Loan,Not specified,(615) 259-7451,55106
Minnesota Job Creation Fund,Minnesota Department of Employment and Economic Development Region 8,1000000,2000000,Eligible businesses,Contact provider,Minnesota,mn.gov,https://mn.gov/deed/business/financing-business/deed-programs/mn-jcf/,Grant,Not specified,(615) 259-7483,55106
Emerging Entrepreneur Loan Program,Minnesota Department of Employment and Economic Development Region 8,5000,150000,Businesses located in low-income areas of Minnesota,"Startup, expansion costs, machinery, equipment, inventory, receivables, working capital, new construction, renovation, site acquisition",Minnesota,mn.gov,https://mn.gov/deed/business/financing-business/deed-programs/elp,Loan,"Minorities, Women, Veterans, People with Disabilities",(615) 259-7450,55106
Small Business Environmental Improvement Loan,Minnesota Pollution Control Agency,1000,75000,Small businesses,"Site investigation, environmental cleanup, capital equipment purchase to comply with or go beyond environmental regulation requirements",Minnesota,www.pca.state.mn.us,https://www.pca.state.mn.us/regulations/small-business-environmental-improvement-loans,Loan,Not specified,(651) 757-2857,55106
Small Business Environmental Improvement Loan,Minnesota Pollution Control Agency,1000,50000,Small businesses,"Site investigation, environmental cleanup, capital equipment purchase to comply with or go beyond environmental regulation requirements",Minnesota,www.pca.state.mn.us,https://www.pca.state.mn.us/regulations/small-business-environmental-improvement-loans,Loan,Not specified,(651) 757-2519,55106
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Mississippi,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(601) 965-4300,39503
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Mississippi,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(601) 965-4300,39503
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Mississippi,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(601) 965-4300,39503
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Mississippi,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(601) 965-4300,39503
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Mississippi,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(601) 965-4300,39503
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Mississippi,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(601) 965-4300,39503
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Mississippi,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(601) 965-4300,39503
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Mississippi,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(601) 965-4316,39503
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Mississippi,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(601) 965-4316,39503
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Mississippi,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(601) 965-4316,39503
Back to Business Mississippi Grant Program,Mississippi Development Authority,1500,25000,"For-profit corporation, limited liability company, a partnership or a sole proprietorship small business with 50 or fewer employees and affected by COVID-19","Costs incurred by the eligible business to meet public health requirements or recommendations enacted, adopted, required, or issued by the Mississippi Department of Health, the Centers for Disease Control, state or federal regulatory authorities, and/or local, state or federal executive authorities due to COVID-19",Mississippi,www.backtobusinessms.org,https://www.backtobusinessms.org/,COVID-19 Specific Grant,Not specified,(601) 228-1774,39503
Small Business and Existing Forestry Industry Loan Program,Mississippi Development Authority,50000,500000,"Small businesses with less than 100 full-time employees and $7 million in gross revenues or $750,000 in profit after taxes; existing forestry industry enterprises that have their principal places of business in Mississippi, have operated in the state for at least 2 consecutive years, perform the initial processing of pine logs and hardwood logs for the production of lumber products or are engaged in producing poles or timbers, and have employed an average of at least 15 employees in the most recent 36-month period preceding application","Building acquisition, renovation or expansion, working capital, machinery and equipment",Mississippi,www.mississippi.org,https://www.mississippi.org/advantages/incentives/,Loan,Not specified,(601) 359-3552,39503
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Missouri,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(573) 876-0925,63376
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Missouri,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(573) 876-0925,63376
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Missouri,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(573) 876-0925,63376
Direct Operating Loan,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Missouri,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(573) 876-0925,63376
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Missouri,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(573) 876-0925,63376
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Missouri,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(573) 876-0925,63376
Direct Emergency Farm Loan,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Missouri,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(573) 876-0925,63376
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Missouri,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(573) 876-0976,63376
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Missouri,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(573) 876-0976,63376
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Missouri,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(573) 876-0976,63376
Revolving Loan Fund,Missouri Agricultural & Small Business Development Authority,0,112500,"Value-added ag enterprises, ag support businesses, firms with emerging ag tech, marketers/retailers of ag products, must be located in community of less than 50,000 and be owned by U.S. citizen or legal resident","Land, buildings, machinery, supplies, new or expansion construction or repair, working capital, pollution control equipment",Missouri,agriculture.mo.gov,https://agriculture.mo.gov/abd/financial/revolvingloan.php,Loan - Revolving Loan Fund,Not specified,(573) 751-2124,63376
Animal Waste Treatment System Loan Program,Missouri Agricultural & Small Business Development Authority,0,400000,Independent livestock and poultry producers,"Eligible animal waste treatment system such as storage structures (earthen, concrete, or slurry systems), land, engineering cost, finance charges, fencing around lagoons, irrigation systems to pump down lagoon, animal waste treatment system equipment, dedicated waste treatment equipment, portions of feeding floors and loafing areas used for waste collection, flush systems, composters, vegetative filters, filter strips, water and sediment strips, contour buffer strips, diversions or other water pollution reduction activities associated with animal waste treatment systems",Missouri,agriculture.mo.gov,https://agriculture.mo.gov/abd/financial/awloanprg.php,Loan,Not specified,(573) 751-2124,63376
Missouri FIRST Program,Missouri Agricultural & Small Business Development Authority,0,1000000,Development facility or renewable fuel production facility borrower qualified by the Missouri Agricultural and Small Business Development Authority,"Agricultural product that has been produced for purpose of sale or exchange; an energy source that is derived from a renewable, domestically grown organic compound capable of powering machinery, including an engine or power plant; any by-product derived from such energy source",Missouri,agriculture.mo.gov,https://agriculture.mo.gov/abd/financial/eligiblefacility.php,Loan,Not specified,(573) 751-2124,63376
Small Business Loan,Missouri Department of Economic Development,2500,50000,For-profit businesses,"Working capital, equipment, inventory, real property improvements",Missouri,ded.mo.gov,https://ded.mo.gov/programs/business/small-business-loan-program,Loan,Not specified,(573) 522-8004,63376
Small Business Disaster Loan Program,Missouri Department of Economic Development,2500,50000,"Companies 100% Missouri-owned and 100% Missouri-located, impacted by a natural disaster (direct property damage, interruptions to their operations and services because of temporary customer loss, temporary interference with access)","Working capital, inventory, equipment purchase, real property improvements (owned by borrower)",Missouri,ded.mo.gov,https://ded.mo.gov/programs/business/small-business-disaster-loan-program,Loan,Not specified,(573) 522-8004,63376
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Montana,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women, Economically Disadvantaged",(406) 587-6872,59901
Direct Emergency,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Montana,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(406) 587-6872,59901
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Montana,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(406) 587-6872,59901
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Montana,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(406) 587-6872,59901
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Montana,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(406) 587-6872,59901
Direct Operating,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Montana,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(406) 587-6872,59901
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Montana,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(406) 587-6872,59901
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Montana,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(406) 585-2580,59901
Rural Energy for America Program (REAP) Loan,USDA Rural Development,5000,25000000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Montana,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Loan - Guaranteed,Not specified,(406) 585-2580,59901
Value-Added Producer Grants,USDA Rural Development,0,250000,"Independent producers, farmer and rancher cooperatives, agricultural producer groups; majority-controlled, producer-based business ventures","Feasibility studies, business plans, working capital including processing costs, marketing and advertising expenses, some inventory and salary expenses",Montana,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/value-added-producer-grants,Grant,Not specified,(406) 585-2580,59901
Live Entertainment Grant Program,Governor's Office of Economic Development,0,400000,Montana-based businesses and non-profits engaged in the business of live entertainment and whose revenues primarily come from live entertainment events,"Operations, payroll, rent or mortgage, utilities, other business expenses other than property taxes",Montana,commerce.mt.gov,https://commerce.mt.gov/BusinessRecovery,Grant,Not specified,(406) 444-5634,59901
Growth Through Agriculture (GTA) Grants,Montana Department of Agriculture,0,50000,Agribusiness,"Equipment purchases, construction costs, advertising and promotion, consultant fees for engineering",Montana,agr.mt.gov,https://agr.mt.gov/GTA,Grant,Not specified,(406) 444-3144,59901
Growth Through Agriculture (GTA) Loans,Montana Department of Agriculture,0,100000,Agribusiness,"Equipment purchases, construction costs, advertising and promotion, consultant fees for engineering",Montana,agr.mt.gov,https://agr.mt.gov/GTA,Loan,Not specified,(406) 444-3144,59901
Montana Rural Assistance Programs,Montana Department of Agriculture,0,75000,Producers with modest financial investments in agriculture; residents of Montana at least 18 years of age,"Agricultural property such as livestock and farm machinery, improvements such as barns or irrigations systems, annual operating expenses, agricultural land",Montana,agr.mt.gov,https://agr.mt.gov/I-Want-To/Apply-For/Grants-Loans/Rural-Assistance-Loans,Loan,Not specified,(406) 444-9442,59901
Specialty Crop Block Grants,Montana Department of Agriculture,0,400000,"Montana's specialty crop industry: fruits, vegetables, tree nuts, horticulture, and nursery crops (including floriculture)",Contact provider,Montana,agr.mt.gov,https://agr.mt.gov/SpecialtyCropGrantProgram,Grant,Not specified,(406) 444-3144,59901
Montana Business Adaptability Grant,Montana Department of Natural Resources and Conservation,0,10000,"Montana-based businesses that have incurred eligible adaptation expenses since March 1, 2020, due to COVID-19","Communication costs, remote work equipment, cleaning supplies, tools to enhance social distancing and sanitation, travel and hotel costs related to quarantining workers",Montana,commerce.mt.gov,https://commerce.mt.gov/BusinessRecovery,COVID-19 Specific Grant,Not specified,(800) 755-6672,59901
Montana Business Adaptation program,Montana Department of Natural Resources and Conservation,0,5000,"Montana-based, for-profit, and nonprofit businesses of 50 or fewer employees","Communication, remote work equipment, cleaning supplies, tools to enhance social distancing and sanitation, travel and hotel costs related to quarantining workers",Montana,dnrc.mt.gov,http://dnrc.mt.gov/business-adaptability-grants-available-to-offset-covid-19-expenses,COVID-19 Specific Grant,Not specified,(800) 755-6672,59901
EDA Wood Products Revolving Loan Fund,Montana Office of Tourism and Business Development,0,400000,"Private contractors, wood products businesses","Working capital, equipment loans, other activities that do not include contracted labor and construction",Montana,marketmt.org,https://marketmt.org/wprlf,Loan - Revolving Loan Fund,Not specified,(406) 841-2594,59901
State Wood Products Revolving Loan Fund,Montana Office of Tourism and Business Development,0,20000,"Private contractors, small businesses that are part of the primary wood processing infrastructure and have suffered economic hardships","Working capital, land or equipment, infrastructure, debt service",Montana,marketmt.org,https://marketmt.org/wprlf,Loan - Revolving Loan Fund,Not specified,(406) 841-2594,59901
Value Added Loan Package,Montana Board of Investments,0,250000,Small businesses,,Montana,investmentmt.com,https://investmentmt.com/LoanPrograms/Programs,Loan,Not specified,(406) 444-1217,59901
Montana Working Capital Program,Montana Board of Investments and Department of Revenue,0,175000,Montana businesses impacted by COVID-19,"Working capital expenses (payroll/contract labor, employee benefits, leases/rents, inventory, utilities, insurance, advertising, repairs and maintenance, office expense, interest for loan) funded by an existing loan",Montana,investmentmt.com,https://investmentmt.com/,Grant,Not specified,(406) 444-0001,59901
Rural Assistance Loan Program,Montana Department of Agriculture,0,75000,Small businesses,"Agricultural property such as livestock and farm machinery, improvements such as barns or irrigations systems, annual operating expenses, agricultural land",Montana,agr.mt.gov,https://agr.mt.gov/I-Want-To/Apply-For/Grants-Loans/Rural-Assistance-Loans,Loan,Not specified,(406) 444-5420,59901
Big Sky Economic Development Trust Fund (BSTF),Montana Department of Commerce,0,400000,End recipient of BSTF financial assistance received through a cooperative endeavor with a local or tribal government,"Reduction in the interest rate of a commercial loan for the expansion of a basic sector company, grant or low interest loan for relocation expenses, rental assistance or lease buy-down for relocation or expansion project for a basic sector company; a grant land, building or equipment wages of net new employees construction materials, employee training.",Montana,marketmt.com,https://marketmt.com/BSTF,Loan,Not specified,(406) 841-2792,59901
STED Commission Indian Equity Fund (IEF),State Tribal Economic Development Commission,0,400000,Startup or expanding Native American business in Montana including tribal enterprises,"Land, building, equipment, furnishings, equipment, technology, working capital; existing business owners must show how the funding will support growth in their business either through the development of a new product or service with the existing business strategy",Montana,marketmt.com,https://marketmt.com/ICP/STEDC/IEF,Grant,American Indian and Alaska Native,(406) 841-2754,59901
Montgomery Countyâ€™s Microenterprise Stabilization Program,Montgomery County,0,10000,"Business owner must qualify as low-income, employs 5 or fewer employees, established as of January 1, 2020, experienced a loss of revenue due to COVID-19",Working capital,Montgomery County,www.montgomerycountymd.gov,https://www.montgomerycountymd.gov/biz-resources/msp/,COVID-19 Specific Grant,Economically Disadvantaged,(240) 641-6700,20906
Small Business Revolving Loan Program,Montgomery County Department of Finance,5000,100000,"Montgomery County-based small businesses, gross revenues of less than $5 million annually, fewer than 75 employees","Business expansion, retain and stabilize the business",Montgomery County,www.montgomerycountymd.gov,https://www.montgomerycountymd.gov/Biz-Resources/Resources/Files/SBRLP_App.pdf,Loan - Revolving Loan Fund,Not specified,(240) 641-6700,20906
Business Industrial Development Fund,Navajo Nation Division of Economic Development,10000,200000,Navajo-owned small businesses,Contact provider,Navajo Nation,navajobusiness.com,http://navajobusiness.com/doingBusiness/Programs/ProgramsFinAsst2.htm,Loan,Economically Disadvantaged,(928) 871-6544,87121
Direct Down Payment Farm Ownership Program,USDA - Farm Service Agency,0,300150,Beginning or underserved farmers,Farm purchase,Nebraska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(402) 437-5581,68516
Direct Emergency Farm Loan,USDA - Farm Service Agency,0,500000,"Farmers and ranchers who own or operate land located in a county declared by the President or designated by the Secretary of Agriculture as a primary disaster area or quarantine area, are established family farm operators with sufficient farming or ranching experience, and have suffered at least a 30% loss in crop production or physical loss to livestock, live stock products, real estate, or chattel property","Essential property, production costs associated with the disaster year, essential family living expenses, farming operation reorganization, debt refinancing with certain limitations",Nebraska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/emergency-farm-loans/index,Loan,Not specified,(402) 437-5581,68516
Direct Farm Ownership,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Nebraska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(402) 437-5581,68516
Direct Farm Ownership Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Nebraska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Line of Credit,"Minorities, Women",(402) 437-5581,68516
Direct Farm Ownership Participation,USDA - Farm Service Agency,0,600000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Farm purchase, building construction or other capital improvements, soil and water conservation, closing costs",Nebraska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-ownership-loans/index,Loan,"Minorities, Women",(402) 437-5581,68516
Direct Operating Loan,USDA - Farm Service Agency,0,400000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Nebraska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/farm-operating-loans/index,Loan,"Minorities, Women",(402) 437-5581,68516
Direct Operating Microloan,USDA - Farm Service Agency,0,50000,Family farmers unable to obtain credit elsewhere at reasonable rates and terms,"Livestock, poultry, equipment, feed, seed, farm chemicals, supplies, soil and water conservation, debt refinancing with certain limitations",Nebraska,www.fsa.usda.gov,https://www.fsa.usda.gov/programs-and-services/farm-loan-programs/microloans/index,Loan - Microloan,"Minorities, Women",(402) 437-5581,68516
Rural Energy for America Program (REAP) Grant,USDA Rural Development,0,500000,Agricultural producers with at least 50% of their gross income coming from agricultural operations; small businesses in eligible rural areas,"Renewable energy systems, energy efficient improvements, replacement of energy-inefficient equipment",Nebraska,www.rd.usda.gov,https://www.rd.usda.gov/programs-services/rural-energy-america-program-renewable-energy-systems-energy-efficiency,Grant,Not specified,(402) 437-5551,68516
